a_0,a_1,a_2,a_3,a_4,a_5,left_leg_sum,right_leg_sum,rep_mean,rep_sum,polar_coords
1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0061965818,1.5863249,0.99999994
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.005925195,1.5168499,1.0
1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.005845042,1.4963307,0.99999994
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0061493376,1.5742304,1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,3.0,0.00612857,1.5689139,1.0
1.0,1.0,1.0,-1.0,-1.0,-1.0,3.0,-3.0,0.006051176,1.5491011,1.0
1.0,1.0,1.0,-1.0,-1.0,1.0,3.0,-1.0,0.005945609,1.5220759,1.0
1.0,1.0,1.0,-1.0,1.0,-1.0,3.0,-1.0,0.006272717,1.6058155,0.99999994
1.0,1.0,1.0,-1.0,1.0,1.0,3.0,1.0,0.006203417,1.5880748,1.0
1.0,1.0,1.0,1.0,-1.0,-1.0,3.0,-1.0,0.0060195476,1.5410042,0.99999994
1.0,1.0,1.0,1.0,-1.0,1.0,3.0,1.0,0.0059454013,1.5220227,1.0
1.0,1.0,1.0,1.0,1.0,-1.0,3.0,1.0,0.006232908,1.5956244,1.0
1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0062312772,1.595207,0.99999994
